"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","A27","B28","C29","D30","E31","F32","G33","H34","I35","J36","K37","L38","M39","N40","O41","P42","Q43","R44","S45","T46","U47","V48","W49","X50","Y51","Z52","A53","B54","C55","D56","E57","F58","G59","H60","I61","J62","K63","L64","M65","N66","O67","P68","Q69","R70","S71"
"149","NO TENGO PROBLEMA, SI LO SOLICITARIA","1","0.5","0","0","1","1.5","0","0","1","0.9","0","0","0","0","1","2.5","0","0","0","0","0","0","1","1.6","0","0","0","0","1","2.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150","COBRAN MUCHAS COMISIONES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"151","PIDEN MUCHOS REQUISITOS","7","3.4","4","2.9","3","4.5","3","3.2","4","3.6","2","4.4","0","0","1","2.5","0","0","4","8.5","1","2","3","4.9","1","2.1","2","4.3","5","13.2","1","4.2","0","0","0","0","0","0","0","0","0","0","0","0","1","6.7","1","3.4","0","0","0","0","4","8.5","0","0","2","5.3","0","0","0","0","3","7.3","0","0","1","7.1","0","0"
"152","NO ME INTERESA UN CRÉDITO","10","4.9","10","7.2","0","0","5","5.4","5","4.5","1","2.2","4","9.8","0","0","2","6.2","3","6.4","1","2","4","6.6","3","6.2","2","4.3","0","0","1","4.2","2","11.8","1","3.4","2","10","0","0","0","0","1","3.2","3","20","0","0","6","19.4","1","3.8","1","2.1","0","0","2","5.3","0","0","0","0","2","4.9","2","10.5","0","0","6","37.5"
"153","NO ME GUSTA EL BANCO","12","5.9","8","5.8","4","6","3","3.2","9","8","2","4.4","4","9.8","3","7.5","2","6.2","1","2.1","5","10","3","4.9","3","6.2","1","2.2","2","5.3","0","0","1","5.9","3","10.3","2","10","0","0","2","10.5","0","0","2","13.3","1","3.4","2","6.5","3","11.5","1","2.1","4","11.8","1","2.6","3","13.6","1","3.8","2","4.9","0","0","1","7.1","1","6.2"
"154","NO SOY SUJETO DE CRÉDITO","6","2.9","4","2.9","2","3","1","1.1","5","4.5","1","2.2","0","0","1","2.5","2","6.2","2","4.3","2","4","1","1.6","0","0","3","6.5","1","2.6","2","8.3","0","0","0","0","0","0","0","0","1","5.3","2","6.5","0","0","2","6.9","0","0","0","0","2","4.3","0","0","2","5.3","0","0","1","3.8","3","7.3","0","0","0","0","0","0"
"155","NO CUBRE MIS NECESIDADES","4","2","3","2.2","1","1.5","2","2.2","2","1.8","2","4.4","1","2.4","1","2.5","0","0","0","0","0","0","1","1.6","1","2.1","2","4.3","2","5.3","0","0","0","0","0","0","1","5","1","8.3","0","0","0","0","0","0","0","0","0","0","2","7.7","1","2.1","1","2.9","0","0","2","9.1","0","0","0","0","0","0","1","7.1","0","0"
"156","ES UN BANCO PARA GENTE RICA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"157","POR LOS PLAZOS Y FRECUENCIA DE PAGOS","2","1","1","0.7","1","1.5","1","1.1","1","0.9","1","2.2","0","0","1","2.5","0","0","0","0","0","0","2","3.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6.5","0","0","0","0","2","6.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5.3","0","0","0","0"
"158","","195","95.1","129","93.5","66","98.5","92","98.9","103","92","45","100","35","85.4","40","100","29","90.6","46","97.9","47","94","58","95.1","46","95.8","44","95.7","38","100","22","91.7","16","94.1","26","89.7","19","95","12","100","18","94.7","29","93.5","15","100","27","93.1","29","93.5","26","100","44","93.6","32","94.1","37","97.4","22","100","23","88.5","37","90.2","18","94.7","14","100","15","93.8"
"159","Total","205","100","138","100","67","100","93","100","112","100","45","100","41","100","40","100","32","100","47","100","50","100","61","100","48","100","46","100","38","100","24","100","17","100","29","100","20","100","12","100","19","100","31","100","15","100","29","100","31","100","26","100","47","100","34","100","38","100","22","100","26","100","41","100","19","100","14","100","16","100"
"160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"161","Famsa","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"162","LOS INTERESES SON ALTOS","41","27.9","30","28.3","11","26.8","23","30.3","18","25.4","8","25.8","11","30.6","10","30.3","9","34.6","3","14.3","8","22.2","15","31.2","13","32.5","5","21.7","2","8.7","2","18.2","11","57.9","6","18.2","2","33.3","0","0","5","31.2","0","0","13","65","5","27.8","11","61.1","3","23.1","7","15.6","11","30.6","4","23.5","5","22.7","10","37","6","37.5","3","30","2","10.5","4","33.3"
"163","NO ME DA CONFIANZA","35","23.8","28","26.4","7","17.1","21","27.6","14","19.7","10","32.3","8","22.2","7","21.2","6","23.1","4","19","9","25","11","22.9","6","15","9","39.1","7","30.4","1","9.1","4","21.1","13","39.4","2","33.3","2","18.2","5","31.2","1","12.5","0","0","3","16.7","1","5.6","2","15.4","13","28.9","10","27.8","6","35.3","6","27.3","5","18.5","6","37.5","4","40","4","21.1","3","25"
"164","FALTA INFORMACIÓN DEL BANCO","21","14.3","11","10.4","10","24.4","9","11.8","12","16.9","3","9.7","5","13.9","2","6.1","6","23.1","5","23.8","8","22.2","5","10.4","5","12.5","3","13","6","26.1","3","27.3","1","5.3","6","18.2","0","0","3","27.3","0","0","2","25","0","0","2","11.1","1","5.6","2","15.4","10","22.2","2","5.6","4","23.5","3","13.6","1","3.7","1","6.2","0","0","5","26.3","1","8.3"
"165","ME HAN DADO MALAS REFERENCIAS DEL BANCO","4","2.7","2","1.9","2","4.9","2","2.6","2","2.8","0","0","2","5.6","1","3","0","0","1","4.8","1","2.8","1","2.1","2","5","0","0","0","0","0","0","1","5.3","1","3","0","0","0","0","2","12.5","0","0","0","0","0","0","0","0","0","0","0","0","3","8.3","1","5.9","0","0","1","3.7","0","0","1","10","0","0","0","0"
"166","TIENE POCAS SUCURSALES/CAJEROS","14","9.5","12","11.3","2","4.9","5","6.6","9","12.7","4","12.9","3","8.3","4","12.1","1","3.8","2","9.5","1","2.8","7","14.6","3","7.5","3","13","0","0","4","36.4","0","0","4","12.1","0","0","4","36.4","0","0","2","25","0","0","2","11.1","2","11.1","1","7.7","6","13.3","2","5.6","1","5.9","2","9.1","1","3.7","2","12.5","1","10","4","21.1","2","16.7"
"167","MALA ATENCIÓN Y SERVICIO","16","10.9","14","13.2","2","4.9","7","9.2","9","12.7","1","3.2","2","5.6","8","24.2","1","3.8","4","19","3","8.3","4","8.3","7","17.5","2","8.7","1","4.3","0","0","2","10.5","1","3","0","0","2","18.2","4","25","0","0","6","30","2","11.1","1","5.6","1","7.7","4","8.9","7","19.4","1","5.9","3","13.6","7","25.9","1","6.2","0","0","1","5.3","2","16.7"
"168","NO SABE/NO CONTESTO","6","4.1","6","5.7","0","0","2","2.6","4","5.6","0","0","3","8.3","1","3","0","0","2","9.5","1","2.8","3","6.2","1","2.5","1","4.3","0","0","1","9.1","0","0","4","12.1","0","0","0","0","1","6.2","0","0","0","0","2","11.1","0","0","1","7.7","1","2.2","2","5.6","0","0","1","4.5","3","11.1","1","6.2","0","0","1","5.3","0","0"
"169","NO TENGO PROBLEMA, SI LO SOLICITARIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"170","COBRAN MUCHAS COMISIONES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"171","PIDEN MUCHOS REQUISITOS","6","4.1","3","2.8","3","7.3","4","5.3","2","2.8","1","3.2","1","2.8","1","3","2","7.7","1","4.8","2","5.6","3","6.2","1","2.5","0","0","1","4.3","0","0","3","15.8","0","0","0","0","0","0","0","0","1","12.5","1","5","1","5.6","1","5.6","0","0","3","6.7","0","0","1","5.9","0","0","1","3.7","2","12.5","0","0","0","0","0","0"
"172","NO ME INTERESA UN CRÉDITO","9","6.1","6","5.7","3","7.3","7","9.2","2","2.8","3","9.7","3","8.3","1","3","1","3.8","1","4.8","3","8.3","2","4.2","2","5","2","8.7","2","8.7","1","9.1","0","0","1","3","2","33.3","1","9.1","1","6.2","0","0","1","5","0","0","2","11.1","4","30.8","2","4.4","1","2.8","0","0","2","9.1","0","0","0","0","1","10","3","15.8","0","0"
"173","NO ME GUSTA EL BANCO","3","2","1","0.9","2","4.9","0","0","3","4.2","1","3.2","0","0","1","3","1","3.8","0","0","1","2.8","1","2.1","1","2.5","0","0","0","0","0","0","1","5.3","1","3","0","0","0","0","0","0","1","12.5","0","0","2","11.1","0","0","0","0","1","2.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8.3"
"174","NO SOY SUJETO DE CRÉDITO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"175","NO CUBRE MIS NECESIDADES","3","2","2","1.9","1","2.4","1","1.3","2","2.8","1","3.2","2","5.6","0","0","0","0","0","0","1","2.8","1","2.1","1","2.5","0","0","2","8.7","0","0","0","0","0","0","0","0","0","0","0","0","1","12.5","0","0","0","0","0","0","0","0","1","2.2","1","2.8","1","5.9","1","4.5","1","3.7","0","0","0","0","0","0","0","0"
"176","ES UN BANCO PARA GENTE RICA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"177","POR LOS PLAZOS Y FRECUENCIA DE PAGOS","2","1.4","2","1.9","0","0","2","2.6","0","0","1","3.2","0","0","1","3","0","0","0","0","0","0","1","2.1","0","0","1","4.3","2","8.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4.4","0","0","0","0","2","9.1","0","0","0","0","0","0","0","0","0","0"
"178","","134","91.2","95","89.6","39","95.1","69","90.8","65","91.5","29","93.5","32","88.9","29","87.9","25","96.2","19","90.5","34","94.4","42","87.5","38","95","20","87","23","100","10","90.9","15","78.9","29","87.9","6","100","10","90.9","14","87.5","8","100","19","95","17","94.4","17","94.4","12","92.3","40","88.9","33","91.7","15","88.2","19","86.4","24","88.9","13","81.2","10","100","18","94.7","11","91.7"
"179","Total","147","100","106","100","41","100","76","100","71","100","31","100","36","100","33","100","26","100","21","100","36","100","48","100","40","100","23","100","23","100","11","100","19","100","33","100","6","100","11","100","16","100","8","100","20","100","18","100","18","100","13","100","45","100","36","100","17","100","22","100","27","100","16","100","10","100","19","100","12","100"
"180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"181","Otros (Especif)","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"182","LOS INTERESES SON ALTOS","41","25.3","22","22.4","19","29.7","21","24.7","20","26","7","26.9","12","33.3","7","23.3","4","14.3","11","26.2","11","28.9","7","18.4","11","26.2","12","27.3","3","15.8","6","46.2","0","0","10","23.8","3","15.8","1","6.2","3","17.6","9","64.3","6","33.3","15","32.6","2","33.3","2","6.2","5","19.2","9","29","8","38.1","4","33.3","11","29.7","4","22.2","2","33.3","1","6.2","0","0"
"183","NO ME DA CONFIANZA","8","4.9","5","5.1","3","4.7","4","4.7","4","5.2","1","3.8","3","8.3","1","3.3","0","0","3","7.1","2","5.3","4","10.5","1","2.4","1","2.3","2","10.5","1","7.7","1","25","1","2.4","2","10.5","0","0","1","5.9","0","0","0","0","2","4.3","0","0","1","3.1","3","11.5","0","0","2","9.5","2","16.7","1","2.7","2","11.1","0","0","0","0","0","0"
"184","FALTA INFORMACIÓN DEL BANCO","11","6.8","7","7.1","4","6.2","4","4.7","7","9.1","1","3.8","2","5.6","3","10","0","0","5","11.9","3","7.9","4","10.5","2","4.8","2","4.5","2","10.5","0","0","0","0","6","14.3","0","0","0","0","2","11.8","1","7.1","0","0","4","8.7","1","16.7","2","6.2","1","3.8","0","0","3","14.3","1","8.3","3","8.1","2","11.1","0","0","0","0","1","11.1"
"185","ME HAN DADO MALAS REFERENCIAS DEL BANCO","2","1.2","1","1","1","1.6","1","1.2","1","1.3","0","0","0","0","1","3.3","0","0","1","2.4","1","2.6","0","0","0","0","1","2.3","0","0","0","0","0","0","1","2.4","1","5.3","0","0","0","0","0","0","0","0","1","2.2","0","0","1","3.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6.2","0","0"
"186","TIENE POCAS SUCURSALES/CAJEROS","1","0.6","0","0","1","1.6","1","1.2","0","0","0","0","0","0","0","0","1","3.6","0","0","0","0","1","2.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5.9","0","0","0","0","0","0","0","0","0","0","1","3.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"187","MALA ATENCIÓN Y SERVICIO","5","3.1","4","4.1","1","1.6","3","3.5","2","2.6","1","3.8","2","5.6","1","3.3","0","0","1","2.4","0","0","1","2.6","2","4.8","2","4.5","0","0","1","7.7","1","25","0","0","0","0","0","0","2","11.8","0","0","1","5.6","2","4.3","0","0","0","0","2","7.7","1","3.2","0","0","1","8.3","1","2.7","0","0","0","0","0","0","2","22.2"
"188","NO SABE/NO CONTESTO","36","22.2","22","22.4","14","21.9","19","22.4","17","22.1","6","23.1","4","11.1","6","20","8","28.6","12","28.6","9","23.7","8","21.1","10","23.8","9","20.5","7","36.8","0","0","0","0","13","31","0","0","9","56.2","6","35.3","0","0","1","5.6","9","19.6","3","50","8","25","4","15.4","9","29","3","14.3","0","0","8","21.6","4","22.2","4","66.7","3","18.8","3","33.3"
"189","NO TENGO PROBLEMA, SI LO SOLICITARIA","15","9.3","12","12.2","3","4.7","10","11.8","5","6.5","2","7.7","2","5.6","3","10","5","17.9","3","7.1","2","5.3","3","7.9","8","19","2","4.5","1","5.3","0","0","0","0","4","9.5","1","5.3","5","31.2","0","0","0","0","4","22.2","4","8.7","0","0","3","9.4","4","15.4","4","12.9","0","0","1","8.3","6","16.2","4","22.2","0","0","0","0","1","11.1"
"190","COBRAN MUCHAS COMISIONES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"191","PIDEN MUCHOS REQUISITOS","3","1.9","3","3.1","0","0","2","2.4","1","1.3","0","0","1","2.8","0","0","1","3.6","1","2.4","1","2.6","0","0","1","2.4","1","2.3","0","0","1","7.7","2","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6.2","0","0","0","0","1","4.8","0","0","0","0","1","5.6","0","0","2","12.5","0","0"
"192","NO ME INTERESA UN CRÉDITO","32","19.8","17","17.3","15","23.4","17","20","15","19.5","8","30.8","6","16.7","7","23.3","6","21.4","5","11.9","8","21.1","8","21.1","6","14.3","10","22.7","2","10.5","5","38.5","0","0","6","14.3","9","47.4","0","0","1","5.9","3","21.4","6","33.3","7","15.2","0","0","11","34.4","4","15.4","6","19.4","4","19","2","16.7","5","13.5","2","11.1","0","0","6","37.5","2","22.2"
"193","NO ME GUSTA EL BANCO","6","3.7","4","4.1","2","3.1","3","3.5","3","3.9","0","0","2","5.6","1","3.3","1","3.6","2","4.8","0","0","1","2.6","1","2.4","4","9.1","2","10.5","0","0","0","0","0","0","3","15.8","1","6.2","0","0","0","0","0","0","0","0","0","0","2","6.2","2","7.7","1","3.2","1","4.8","1","8.3","0","0","0","0","0","0","3","18.8","0","0"
"194","NO SOY SUJETO DE CRÉDITO","4","2.5","1","1","3","4.7","3","3.5","1","1.3","0","0","4","11.1","0","0","0","0","0","0","1","2.6","1","2.6","0","0","2","4.5","0","0","0","0","0","0","1","2.4","2","10.5","0","0","0","0","1","7.1","0","0","1","2.2","0","0","2","6.2","0","0","1","3.2","0","0","0","0","0","0","0","0","0","0","1","6.2","0","0"
"195","NO CUBRE MIS NECESIDADES","2","1.2","2","2","0","0","0","0","2","2.6","0","0","0","0","0","0","2","7.1","0","0","0","0","1","2.6","1","2.4","0","0","0","0","0","0","0","0","1","2.4","0","0","0","0","1","5.9","0","0","0","0","2","4.3","0","0","0","0","0","0","0","0","0","0","0","0","2","5.4","0","0","0","0","0","0","0","0"
"196","ES UN BANCO PARA GENTE RICA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"197","POR LOS PLAZOS Y FRECUENCIA DE PAGOS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"198","","158","97.5","96","98","62","96.9","82","96.5","76","98.7","26","100","34","94.4","30","100","28","100","40","95.2","38","100","37","97.4","41","97.6","42","95.5","19","100","12","92.3","4","100","41","97.6","17","89.5","16","100","17","100","14","100","18","100","45","97.8","6","100","30","93.8","26","100","31","100","20","95.2","12","100","37","100","17","94.4","6","100","15","93.8","9","100"
"199","Total","162","100","98","100","64","100","85","100","77","100","26","100","36","100","30","100","28","100","42","100","38","100","38","100","42","100","44","100","19","100","13","100","4","100","42","100","19","100","16","100","17","100","14","100","18","100","46","100","6","100","32","100","26","100","31","100","21","100","12","100","37","100","18","100","6","100","16","100","9","100"
"200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
